registration_year,state,vehicle_make_&_model,vehicle_count
1999,OR,FORD RANGER,1
2002,OR,GEM GEM,2
2003,MT,GEM GEM,1
2003,OR,GEM GEM,3
2004,MT,GEM GEM,5
2004,OR,CHEVROLET S-10 PICKUP,1
2004,OR,GEM GEM,5
2005,MT,GEM GEM,2
2005,VA,GEM GEM,1
2006,OR,CHEVROLET S-10 PICKUP,2
2006,OR,GEM GEM,6
2006,VA,GEM GEM,2
2007,MT,GEM GEM,1
2007,OR,GEM GEM,2
2007,VA,GEM GEM,1
2008,MN,GEM GEM,1
2008,MT,MILES ZX50S AD,1
2008,OR,CHEVROLET S-10 PICKUP,2
2008,OR,GEM GEM,6
2009,MN,CHEVROLET S-10 PICKUP,1
2009,MN,GEM GEM,1
2009,MT,GEM GEM,5
2009,OR,CHEVROLET S-10 PICKUP,2
2009,OR,GEM GEM,7
2009,OR,MILES ZX50S AD,2
2009,OR,TIANJIN QINGYUAN ELECTRIC VEHICLE CO MILES ZX40ST,1
2009,OR,TOYOTA RAV4,1
2009,VA,TIANJIN QINGYUAN ELECTRIC VEHICLE CO MILES ZX40ST,2
2010,CA,Ford Ranger,6
2010,CA,Mini Hardtop 2 Door EV,1
2010,CA,Tesla Roadster,6
2010,CO,GEM GEM,6
2010,CO,TESLA ROADSTER,10
2010,CO,TOYOTA RAV4,3
2010,MT,GEM GEM,5
2010,NM,FORD RANGER,1
2010,NM,GEM GEM,4
2010,OR,CHEVROLET S-10 PICKUP,1
2010,OR,GEM GEM,9
2010,OR,MILES ZX50S AD,2
2010,OR,TOYOTA RAV4,2
2010,WA,Tesla Roadster,56
2011,CA,Chevrolet Volt,15
2011,CA,Ford Ranger,3
2011,CA,Mini Hardtop 2 Door EV,1
2011,CA,Nissan Leaf,15
2011,CA,Smart forTwo EV,2
2011,CA,Tesla Roadster,12
2011,CO,CHEVROLET VOLT,15
2011,CO,GEM GEM,8
2011,CO,NISSAN LEAF,3
2011,CO,TESLA ROADSTER,19
2011,CO,TOYOTA RAV4,1
2011,ME,GEM GEM,1
2011,MN,AZURE DYNAMICS TRANSIT CONNECT ELECTRIC,1
2011,MN,GEM GEM,3
2011,MT,GEM GEM,1
2011,MT,TESLA ROADSTER,3
2011,NM,GEM GEM,3
2011,NM,MILES ZX50S AD,1
2011,NY,AZURE DYNAMICS TRANSIT CONNECT ELECTRIC,2
2011,NY,CHEVROLET S-10 PICKUP,3
2011,NY,CHEVROLET VOLT,48
2011,NY,FORD RANGER,13
2011,NY,GEM GEM,368
2011,NY,HONDA EV PLUS,2
2011,NY,MILES ZX50S AD,4
2011,NY,SMART FORTWO,1
2011,NY,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,2
2011,NY,TESLA ROADSTER,30
2011,NY,TIANJIN QINGYUAN ELECTRIC VEHICLE CO MILES ZX40ST,10
2011,NY,TOYOTA RAV4,11
2011,OR,CHEVROLET S-10 PICKUP,4
2011,OR,CHEVROLET VOLT,3
2011,OR,FORD RANGER,2
2011,OR,GEM GEM,8
2011,OR,MILES ZX50S AD,1
2011,OR,NISSAN LEAF,18
2011,OR,TIANJIN QINGYUAN ELECTRIC VEHICLE CO MILES ZX40ST,1
2011,VA,CHEVROLET VOLT,3
2011,VA,GEM GEM,1
2011,WA,Azure Transit Connect,1
2011,WA,Chevrolet Volt,134
2011,WA,Mitsubishi i,1
2011,WA,Nissan Leaf,914
2011,WA,Smart forTwo EV,1
2011,WA,Tesla Roadster,71
2012,CA,BMW Active E,10
2012,CA,Chevrolet Volt,14
2012,CA,Fisker Karma,6
2012,CA,Ford Focus EV,5
2012,CA,Ford Ranger,4
2012,CA,Ford Transit Connect Electric,5
2012,CA,Honda Fit EV,2
2012,CA,Mitsubishi i,4
2012,CA,Nissan Leaf,18
2012,CA,Tesla Model S,2
2012,CA,Tesla Roadster,6
2012,CA,Toyota Prius Plug-in,16
2012,CA,Toyota RAV4 EV,2
2012,CO,CHEVROLET VOLT,165
2012,CO,FISKER KARMA,2
2012,CO,FORD C-MAX,8
2012,CO,GEM GEM,13
2012,CO,NISSAN LEAF,61
2012,CO,TESLA MODEL S,1
2012,CO,TESLA ROADSTER,15
2012,CO,TOYOTA PRIUS PLUG-IN,9
2012,CO,TOYOTA RAV4,1
2012,ME,TOYOTA PRIUS PLUG-IN,1
2012,MN,CHEVROLET VOLT,4
2012,MN,FISKER KARMA,1
2012,MN,GEM GEM,3
2012,MN,POLARIS GEM,2
2012,MT,CHEVROLET VOLT,1
2012,MT,FISKER KARMA,1
2012,MT,FORD RANGER,1
2012,MT,GEM GEM,4
2012,MT,NISSAN LEAF,1
2012,NM,GEM GEM,3
2012,NM,POLARIS GEM,2
2012,NY,AZURE DYNAMICS TRANSIT CONNECT ELECTRIC,7
2012,NY,BMW ACTIVE E,7
2012,NY,CHEVROLET S-10 PICKUP,2
2012,NY,CHEVROLET VOLT,255
2012,NY,FISKER KARMA,16
2012,NY,FORD RANGER,11
2012,NY,GEM GEM,357
2012,NY,HONDA EV PLUS,2
2012,NY,MILES ZX50S AD,4
2012,NY,NISSAN LEAF,53
2012,NY,SMART FORTWO,3
2012,NY,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,6
2012,NY,TESLA ROADSTER,36
2012,NY,TH!NK CITY,2
2012,NY,TIANJIN QINGYUAN ELECTRIC VEHICLE CO MILES ZX40ST,8
2012,NY,TOYOTA PRIUS,1
2012,NY,TOYOTA RAV4,11
2012,OR,CHEVROLET S-10 PICKUP,1
2012,OR,CHEVROLET VOLT,7
2012,OR,FORD FOCUS,1
2012,OR,GEM GEM,8
2012,OR,MITSUBISHI I-MIEV,2
2012,OR,NISSAN LEAF,10
2012,OR,SMART FORTWO,1
2012,OR,TESLA MODEL S,1
2012,OR,TH!NK CITY,5
2012,OR,TOYOTA PRIUS PLUG-IN,3
2012,OR,WHEEGO ELECTRIC CARS WHEEGO,1
2012,VA,CHEVROLET VOLT,1
2012,WA,Azure Transit Connect,3
2012,WA,Chevrolet Volt,777
2012,WA,Fisker Karma,15
2012,WA,Ford C-Max Energi,46
2012,WA,Ford Focus EV,15
2012,WA,Mitsubishi i,46
2012,WA,Nissan Leaf,1632
2012,WA,Smart forTwo EV,2
2012,WA,Tesla Model S,37
2012,WA,Tesla Roadster,79
2012,WA,Toyota Prius Plug-in,274
2013,CA,BMW Active E,1
2013,CA,Chevrolet Volt,18
2013,CA,Fisker Karma,6
2013,CA,Ford C-Max Energi,7
